ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2024-05-18 21:58:35,2024-05-18 21:58:35,0.000,192.168.60.6,192.168.43.1,57042,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:35,2024-05-18 21:58:35,0.000,192.168.60.6,192.168.43.1,45066,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:35,2024-05-18 21:58:35,0.016,192.168.60.6,192.168.43.1,45470,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:35,2024-05-18 21:58:35,0.000,192.168.60.6,192.168.43.1,58956,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:35,2024-05-18 21:58:35,0.000,192.168.60.6,192.168.43.1,34028,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:35,2024-05-18 21:58:35,0.000,192.168.60.6,192.168.43.1,49342,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:36,2024-05-18 21:58:36,0.000,192.168.60.6,192.168.43.1,40923,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:36,2024-05-18 21:58:36,0.000,192.168.60.6,192.168.43.1,36745,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:36,2024-05-18 21:58:36,0.000,192.168.60.6,192.168.43.1,42527,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
2024-05-18 21:58:36,2024-05-18 21:58:36,0.000,192.168.60.6,192.168.43.1,58661,53,UDP,...A....,0,0,2,134,0,0,1,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.60.1,0/0,1,2024-05-18 20:01:28.750
