ts,td,sa,sp,da,dp,pr,ibyt,ipkt,flg,Label
2024-05-27 13:43:33,4.456,192.168.2.2,0,192.168.3.5,2048,ICMP,420.0,5.0,...A....,1.0
2024-05-02 12:41:33,4.444,192.168.2.2,0,192.168.3.5,2048,ICMP,420.0,5.0,...A....,1.0
2024-05-02 12:41:33,4.468,192.168.3.5,0,192.168.2.2,0,ICMP,420.0,5.0,...A....,1.0
2024-05-02 12:41:33,4.468,192.168.3.5,0,192.168.2.2,0,ICMP,420.0,5.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,50021,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.004,192.168.60.6,49230,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,46951,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,54863,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,45495,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,56045,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,38069,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,36163,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,38558,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,49929,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,33282,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,41929,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,48710,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
2024-05-02 12:41:47,0.0,192.168.60.6,41466,192.168.43.1,53,UDP,134.0,2.0,...A....,1.0
